CO,H2,NO,H2S,NH3,VOC,CO2,Results
0.030079216,0.269432037,0.038856063,0.091343487,0.104371449,0.097337162,0.149431184,1
0.030417471,0.288802523,0.04051593,0.097774939,0.10912535,0.102712288,0.163718086,1
0.036116083,0.304893291,0.042082331,0.09982333,0.114785391,0.11355815,0.181531528,1
0.031617955,0.321596521,0.046412962,0.104277548,0.118256706,0.122220354,0.205252475,1
0.035273325,0.339038271,0.045123431,0.106445084,0.121300491,0.130350647,0.22235248,1
0.033364802,0.353675139,0.046137131,0.11027994,0.125099795,0.137575751,0.25386311,1
0.035574688,0.36762322,0.046045187,0.113908341,0.127380824,0.145949424,0.268439051,1
0.035675143,0.383661953,0.056118064,0.113140885,0.127779998,0.152776621,0.277290825,1
0.031562444,0.393657558,0.05456223,0.122232555,0.133556212,0.157843578,0.288355271,1
0.019171337,0.097182386,0.046666114,0.071898083,0.095601108,0.061440819,0.094398142,1
0.021682937,0.10338017,0.050080047,0.07946305,0.106910609,0.069270512,0.113139045,1
0.022407154,0.108846373,0.054709658,0.083656836,0.11600651,0.073843881,0.1307025,1
0.023485759,0.114361973,0.055763235,0.089204024,0.124435915,0.082861048,0.149314369,1
0.020831492,0.119650178,0.062540443,0.090823412,0.128650079,0.084136018,0.179276456,1
0.02356148,0.12487905,0.063523101,0.094839874,0.134492206,0.092449543,0.201978192,1
0.020331511,0.128384743,0.070992536,0.0999737,0.139471908,0.095645708,0.211394779,1
0.020164851,0.132923868,0.0738099,0.106279004,0.143079184,0.099482271,0.228611303,1
0.02228785,0.140488287,0.075611228,0.105209234,0.147569114,0.106709326,0.240744215,1
0.024567567,0.144522802,0.078778397,0.110209621,0.153523391,0.112024803,0.255410172,1
0.032178478,0.294177872,0.027335815,0.078208953,0.077287427,0.100524533,0.102344033,1
0.033485058,0.316295836,0.031479428,0.086279375,0.085663482,0.10965919,0.118778369,1
0.034257637,0.336303736,0.032951435,0.090311213,0.097936761,0.124748741,0.149228301,1
0.031695481,0.356856107,0.033195705,0.099228113,0.101564664,0.134451081,0.158345973,1
0.03272656,0.376886615,0.035395401,0.10028915,0.110120267,0.144342649,0.182928404,1
0.030588597,0.396924657,0.03783766,0.108497942,0.114181435,0.152501556,0.194161772,1
0.030219636,0.416791257,0.039384979,0.109960281,0.12001463,0.161773589,0.227259225,1
0.032639203,0.438230826,0.039087234,0.113183991,0.123312751,0.172466715,0.235525749,1
0.034950342,0.455254757,0.039503758,0.116373611,0.129611731,0.182376976,0.262334575,1
0.033272036,0.469703528,0.039543352,0.116883784,0.132810765,0.19249998,0.262633129,1
0.019068139,0.159275262,0.023878003,0.068599819,0.087712354,0.070678711,0.107764622,1
0.018145797,0.171393514,0.027147002,0.076945334,0.093568613,0.079620078,0.134936384,1
0.025425479,0.180860946,0.030354689,0.077160884,0.103395739,0.087534492,0.144702419,1
0.01126855,0.197821799,0.035768793,0.083269781,0.115133951,0.088270274,0.16189783,1
0.023624572,0.209886436,0.033759911,0.093515951,0.114184376,0.102546901,0.179023,1
0.026279478,0.216306391,0.036522589,0.097340036,0.127546213,0.109178642,0.195346006,1
0.015007079,0.232233547,0.040029062,0.098774912,0.13819405,0.111265285,0.21137821,1
0.020272602,0.241310188,0.043746384,0.10866592,0.141314463,0.117426621,0.223790885,1
0.018270311,0.251272391,0.042899107,0.109186007,0.145903879,0.126686365,0.238155323,1
0.019358054,0.259246276,0.043855789,0.112656371,0.151729031,0.13019912,0.261729465,1
0.012746444,0.105289978,0.055018516,0.107298185,0.135361802,0.057391824,0.143735363,1
0.015715282,0.117669819,0.065930157,0.106457407,0.145090956,0.06546404,0.168673886,1
0.014370054,0.123799099,0.070589662,0.119103427,0.161518107,0.075131642,0.186493187,1
0.016538862,0.13159641,0.072524836,0.126293715,0.175119688,0.081044915,0.205628608,1
0.01355818,0.139493816,0.07797827,0.141043839,0.186756869,0.08623854,0.224457265,1
0.016542764,0.144725388,0.082068744,0.145102101,0.200052602,0.091568443,0.243622374,1
0.018171669,0.15561213,0.085250046,0.149743959,0.209991178,0.099959099,0.261169776,1
0.01645429,0.162612506,0.09092918,0.155899208,0.217735948,0.104532618,0.279917696,1
0.018052403,0.168574879,0.093882659,0.164381056,0.228513208,0.110481614,0.309919782,1
0.011502231,0.174523399,0.100015405,0.170887692,0.234687219,0.115616723,0.314776555,1
0.007773081,0.110805779,0.049246879,0.056863037,0.079881373,0.069750405,0.159921071,1
0.013174558,0.11769702,0.055652623,0.056041147,0.085722942,0.072301787,0.189578478,1
0.012516401,0.126623329,0.055148792,0.064327436,0.094589459,0.079902814,0.209924329,1
0.015725111,0.136778658,0.058743701,0.066815569,0.101119759,0.08328695,0.233102498,1
0.014947692,0.143139204,0.061401664,0.068779439,0.107879635,0.088576275,0.242727692,1
0.014130518,0.148644495,0.063485955,0.071891045,0.113937298,0.091467429,0.261800168,1
0.015226591,0.155854983,0.066694311,0.076838078,0.118209811,0.09582186,0.27624887,1
0.018574765,0.16172118,0.068458526,0.081151895,0.115142786,0.101492263,0.300443429,1
0.013545764,0.169335284,0.076626466,0.082611241,0.122055033,0.104833874,0.310069308,1
0.012985489,0.175456321,0.076681977,0.086163233,0.126591981,0.107837879,0.327853204,1
0.025132896,0.451441319,0.051257088,0.100598889,0.123809067,0.131116197,0.114302366,1
0.029094114,0.483133181,0.055127947,0.107592749,0.137714014,0.145754019,0.138942505,1
0.02979442,0.513998792,0.058573657,0.118876379,0.14576811,0.158370801,0.152123291,1
0.028093053,0.542989303,0.064267722,0.123341272,0.159598208,0.170710877,0.172868286,1
0.026131762,0.569451761,0.068941918,0.135101196,0.168520544,0.17902983,0.20370813,1
0.02653848,0.597701709,0.075653214,0.138881864,0.180987501,0.19242659,0.225785889,1
0.024392685,0.62082199,0.079448377,0.145689666,0.186489661,0.199665161,0.248307902,1
0.028695805,0.644455816,0.08295053,0.15084676,0.19410697,0.211426417,0.253408868,1
0.026159705,0.666550935,0.087010573,0.154835059,0.201735335,0.219387297,0.283775382,1
0.033259128,0.688304334,0.089531305,0.159511127,0.208444831,0.230844155,0.279321833,1
0.038677911,0.631070888,0.02972162,0.116757581,0.071925179,0.098606053,0.101670331,1
0.040425375,0.67003224,0.027264731,0.120947298,0.077484554,0.113944134,0.127022078,1
0.039714116,0.705836459,0.03038868,0.128388606,0.083006369,0.123909958,0.14947299,1
0.036804309,0.740523941,0.030611033,0.133893218,0.088327704,0.135599801,0.173545231,1
0.038852496,0.772159196,0.034981675,0.139836129,0.091942087,0.146073566,0.179287324,1
0.038565289,0.800777192,0.034885069,0.14365197,0.096548263,0.153461435,0.189225435,1
0.040779887,0.830627233,0.036309748,0.146904887,0.09928845,0.167553334,0.205845399,1
0.039794746,0.854999392,0.036752439,0.14926114,0.103364842,0.174713256,0.208187674,1
0.040204565,0.877956271,0.035747292,0.156013676,0.105637035,0.181797197,0.222646441,1
0.044895604,0.901870638,0.033932202,0.15579473,0.109380834,0.193055568,0.229874392,1
0.054758002,0.759974266,0.066594597,0.122444503,0.122647079,0.162090956,0.092805941,1
0.060479829,0.804515213,0.076015103,0.12095153,0.131724175,0.176631939,0.107689177,1
0.056967298,0.846366285,0.075205837,0.131913261,0.142082085,0.193962319,0.132912435,1
0.064214147,0.883301645,0.078076251,0.135069514,0.150188024,0.207841315,0.157674496,1
0.062203711,0.919329414,0.083646113,0.138147904,0.154715036,0.219872045,0.162943039,1
0.060693973,0.953416082,0.084831934,0.148364139,0.157298416,0.233391433,0.172953241,1
0.066030999,0.983297978,0.088711432,0.156050889,0.148275317,0.241908138,0.19920501,1
0.065679157,1.012758853,0.090399872,0.150625322,0.160777182,0.259019128,0.199899105,1
0.065713281,1.039050194,0.093883456,0.156261862,0.170074791,0.267561693,0.223529497,1
0.059096959,1.065772287,0.093979859,0.154704582,0.169203262,0.28099569,0.225127242,1
0.039056781,0.138402901,0.039476875,0.112750329,0.097320581,0.083770027,0.08515754,1
0.03414138,0.15302333,0.04254815,0.117790749,0.106208765,0.092455183,0.106333367,1
0.036769179,0.162897285,0.045570842,0.126000672,0.108533219,0.101059445,0.131864156,1
0.03437904,0.172689684,0.04597456,0.132045057,0.120408786,0.111705397,0.137667404,1
0.034458261,0.182500344,0.048744301,0.135168889,0.125142127,0.119749739,0.149739687,1
0.03206035,0.190662301,0.04980212,0.141480169,0.133933638,0.125979837,0.163836218,1
0.036170266,0.198280777,0.049450369,0.142997603,0.138441922,0.135620796,0.19371801,1
0.03511333,0.205168526,0.052940934,0.145607174,0.141247582,0.140911149,0.195356617,1
0.036130991,0.213259143,0.052359601,0.151865655,0.148568376,0.147515857,0.227022272,1
0.044255919,0.216624327,0.053329345,0.153194068,0.150316257,0.154736085,0.225102859,1
0.054162638,1.062436798,0.059092296,0.118789931,0.100870027,0.243090747,0.116248081,1
0.055152097,1.11455521,0.066275683,0.121149311,0.105009171,0.266231061,0.142734397,1
0.054667412,1.161536398,0.071737243,0.128482351,0.110944107,0.287286957,0.173892597,1
0.058090878,1.202707619,0.074324621,0.136595971,0.117557343,0.308529443,0.183341811,1
0.06232568,1.241857381,0.081890413,0.143372462,0.121740067,0.325884113,0.201760428,1
0.061623228,1.276769063,0.085274803,0.148335832,0.133476741,0.343632644,0.215932517,1
0.06768349,1.309594231,0.08729726,0.153876723,0.135527998,0.361844127,0.233306502,1
0.066214218,1.338683598,0.090727146,0.157378143,0.140123975,0.373830799,0.260097902,1
0.070999757,1.364204589,0.092544593,0.160392247,0.145594929,0.390407267,0.278074906,1
0.063967158,1.390546062,0.100804121,0.167446901,0.140812551,0.399928313,0.288114894,1
0.024430805,0.519548077,0.063282114,0.10653758,0.124965757,0.126131348,0.129088199,1
0.028323846,0.55565205,0.067493087,0.11365578,0.134703343,0.144337967,0.144468154,1
0.028327071,0.58789223,0.071261005,0.118319662,0.146777721,0.157539251,0.16117243,1
0.027998222,0.620439239,0.077175843,0.125502231,0.158931188,0.17126376,0.188143215,1
0.032772494,0.648545385,0.078775824,0.132706256,0.171889949,0.181866629,0.209211986,1
0.035881905,0.675273521,0.082908368,0.139129391,0.178633087,0.194858567,0.22848038,1
0.033626987,0.701689635,0.088074418,0.143671778,0.183572783,0.205978711,0.238670893,1
0.033911818,0.725914802,0.096056762,0.147326952,0.190722269,0.214016072,0.246862924,1
0.036510331,0.747678042,0.097184352,0.151687077,0.201262413,0.225284719,0.277404501,1
0.034216237,0.769517927,0.105103809,0.157614051,0.202276144,0.231720055,0.280550079,1
0.014953333,0.119969342,0.024060197,0.067560815,0.073327276,0.053212544,0.117500674,1
0.012630898,0.127105439,0.028345129,0.069703847,0.081712679,0.057754475,0.135398197,1
0.014403077,0.138347843,0.02853615,0.074400721,0.086510714,0.063681715,0.143869936,1
0.012592054,0.146101615,0.030028135,0.079935898,0.095788006,0.068799042,0.159170107,1
0.01420671,0.154061278,0.035471949,0.086601789,0.095596969,0.072480565,0.183370118,1
0.014141255,0.162554298,0.036156278,0.089041208,0.101880929,0.075413515,0.204674867,1
0.017912863,0.169666129,0.038198992,0.092076312,0.103911904,0.082501152,0.226353537,1
0.014265435,0.176495351,0.040735611,0.098783965,0.108311153,0.084213743,0.232543322,1
0.015934433,0.186025181,0.040634451,0.098776342,0.112082165,0.092029965,0.238577599,1
0.015274956,0.194733406,0.046329083,0.10263729,0.113177981,0.095206236,0.249162703,1
0.001207944,0.162488886,0.028003324,0.057520808,0.082423409,0.059919989,0.080788317,1
-0.001291986,0.176140156,0.030431923,0.060785474,0.089820659,0.075446812,0.089887798,1
0.000948549,0.186444056,0.039660707,0.061245323,0.091919898,0.078325392,0.122321726,1
0.002489687,0.199311925,0.040291293,0.067369641,0.091830185,0.082832922,0.141049008,1
0.011888266,0.220056681,0.028929313,0.072819571,0.09738284,0.090177771,0.162985557,1
0.009024422,0.228005681,0.03674541,0.068539633,0.099203821,0.095756169,0.165146938,1
0.012830271,0.235942662,0.038818658,0.073812443,0.1016617,0.100063918,0.178062394,1
0.014771877,0.246120802,0.045370314,0.070888192,0.106343194,0.1033593,0.184715611,1
0.011804883,0.260297196,0.041734866,0.076553858,0.107095381,0.109148885,0.199376523,1
0.014718295,0.261904958,0.050844956,0.077467662,0.108906609,0.112177207,0.20973644,1
0.009304227,0.08726084,0.036575558,0.067654096,0.089943249,0.043552674,0.107622647,1
0.009934502,0.096119092,0.038392782,0.067731006,0.09505478,0.049258735,0.129439004,1
0.009668118,0.104420915,0.041591009,0.072797638,0.099751947,0.05567672,0.1454268,1
0.008161811,0.11014094,0.041635222,0.076139756,0.107904326,0.059718068,0.182442247,1
0.009198518,0.116442493,0.04434364,0.078942673,0.110559903,0.063204513,0.193599578,1
0.010669589,0.12207729,0.048516391,0.082618622,0.110907347,0.068968985,0.217795192,1
0.011505515,0.130938886,0.04918251,0.08315064,0.120046375,0.073680229,0.226324298,1
0.015529722,0.137398621,0.047540259,0.084553296,0.129718949,0.08368255,0.251880976,1
0.01063935,0.144133336,0.05047009,0.088453395,0.132734275,0.082076655,0.258360091,1
0.010350628,0.148531486,0.050899283,0.09022098,0.136963575,0.088130673,0.272293897,1
0.01160443,0.09601676,0.046318066,0.061839283,0.092316384,0.056850615,0.144586546,1
0.013360075,0.101374002,0.050123145,0.068404107,0.101278633,0.057302233,0.164659238,1
0.008972543,0.108765671,0.0513528,0.077919672,0.107825943,0.064092616,0.199761615,1
0.009722852,0.11789812,0.057913857,0.07514178,0.1146234,0.068134221,0.211642889,1
0.015020861,0.121778555,0.062138365,0.079015276,0.123954469,0.075000091,0.232186918,1
0.013781758,0.1326266,0.06085074,0.079380477,0.130958248,0.078635917,0.259271394,1
0.015134727,0.139163698,0.068340118,0.08242098,0.131520385,0.08539169,0.283285583,1
0.015172683,0.143331141,0.075290182,0.086811423,0.138925169,0.088855556,0.298690867,1
0.01400872,0.148526925,0.080103329,0.089288405,0.14158081,0.092262103,0.306947879,1
0.018516197,0.158158418,0.087279608,0.088322339,0.14330668,0.097807449,0.319718124,1
0.01551514,0.367876002,0.053190537,0.073531203,0.094036195,0.109272656,0.137418382,1
0.020276612,0.392813118,0.055451144,0.078048602,0.099539628,0.126435808,0.146383604,1
0.017138918,0.418602102,0.063232123,0.081776602,0.106842982,0.132605946,0.168819412,1
0.017680177,0.442021219,0.064951714,0.084525068,0.111111912,0.146894126,0.184169235,1
0.021697511,0.463306732,0.069746175,0.089939098,0.119852152,0.152085962,0.20653007,1
0.021589437,0.484718692,0.071917525,0.094287535,0.12744375,0.161834509,0.232121122,1
0.024520128,0.5054616,0.077494671,0.09754169,0.131260093,0.171697448,0.23833946,1
0.022205793,0.522768431,0.078449899,0.101703492,0.135062739,0.176607006,0.26847384,1
0.024038849,0.541962093,0.083882565,0.104175477,0.137602402,0.186413985,0.274080996,1
0.023878422,0.557384133,0.087639467,0.108014344,0.14134411,0.192947101,0.289250049,1
0.01354554,0.064130048,0.076822166,0.081561335,0.128082873,0.054697521,0.060784318,2
0.020754537,0.065716419,0.082700712,0.088395235,0.132821699,0.063289573,0.071106262,2
0.018920338,0.068998301,0.088005022,0.092459482,0.144259857,0.069602469,0.099627589,2
0.020711938,0.073876261,0.09173264,0.097719801,0.152907394,0.076198389,0.104437325,2
0.019070134,0.071713396,0.097998492,0.104083198,0.16123023,0.083756536,0.118802888,2
0.02074767,0.07750124,0.101329648,0.107957771,0.165259416,0.086846954,0.139843092,2
0.024014789,0.078709566,0.104528651,0.112998031,0.174259569,0.090396476,0.158155431,2
0.025663007,0.082669227,0.10670537,0.114342038,0.180230287,0.097492602,0.163134924,2
0.020791036,0.086019493,0.11338009,0.119725336,0.183592973,0.097785942,0.175781681,2
0.021344056,0.086828532,0.11633057,0.125222979,0.186704107,0.100249098,0.201188348,2
0.029078827,0.238318824,0.088728692,0.074386838,0.119789275,0.119360952,0.089272059,2
0.031220984,0.254250962,0.098590998,0.083111286,0.121050918,0.131824353,0.114907314,2
0.030516603,0.27030972,0.105408647,0.086353541,0.134316523,0.143624268,0.125025937,2
0.029368258,0.284228561,0.112596236,0.091970046,0.140786543,0.151712041,0.141826708,2
0.032005891,0.299103906,0.117264648,0.094922967,0.152247897,0.163224082,0.154055048,2
0.030874717,0.315212385,0.121216649,0.097779442,0.158225022,0.171384958,0.180007461,2
0.026494057,0.32716793,0.130600536,0.101343511,0.164037848,0.181197805,0.187851565,2
0.029539591,0.341405418,0.135045833,0.103483693,0.167967831,0.185561442,0.20237228,2
0.025839341,0.353391637,0.142910769,0.10538511,0.171215435,0.191914541,0.211454823,2
0.028876311,0.365388081,0.145386575,0.106732309,0.173607964,0.200369598,0.225832993,2
0.027513705,0.189410022,0.084702465,0.092308383,0.138760208,0.108728371,0.114879413,2
0.030916506,0.202083064,0.092380754,0.093313431,0.153263256,0.121408863,0.149770742,2
0.031195487,0.211226862,0.09809024,0.099959875,0.165049488,0.132376474,0.15527401,2
0.030795143,0.225009559,0.10580804,0.102510373,0.173812581,0.141886779,0.173621688,2
0.032382294,0.235906932,0.111911406,0.108831229,0.183917565,0.150340355,0.191337629,2
0.032777896,0.24738883,0.119773669,0.111788346,0.191834528,0.162838732,0.204986439,2
